token_GN	lemma_NL	upos	line	note
Hoogelaandsters	Hoogelaandster	NOUN	1	
en	en	CCONJ	1	
Westerwoolds	Westerwoolds	PROPN	1	
Hoogelaandsters	Hoogelaandster	PROPN	1	
Author	Author	PROPN	1	
:	:	PUNCT	1	
B.	B	PROPN	1	
Dijkstra	Dijkstra	PROPN	2	
,	,	PUNCT	2	
and	and	ADV	2	
others	other	NOUN	2	
Year	Year	ADV	2	
			0	
:	:	PUNCT	3	
2022	2022	NUM	3	
			0	
Number	Number	NOUN	4	
:	:	PUNCT	4	
Wikipedia	Wikipedia	PROPN	4	
Q2484953	Q248495	NUM	4	
t	het	DET	4	
Hoogelaandsters	Hoogelaandster	PROPN	4	
(	(	PUNCT	4	
ook	ook	ADV	4	
:	:	PUNCT	4	
Noordgrunnegs	Noordgronings	PROPN	4	
)	)	PUNCT	4	
is	zijn	AUX	4	
n	een	DET	4	
Nedersaksisch	Nedersaksisch	PROPN	4	
dialekt	dialect	VERB	4	
dat	dat	SCONJ	4	
proat	spreken	VERB	4	
wordt	worden	AUX	4	
opt	oppen	VERB	4	
Hoogelaand	Hoogeland	PROPN	4	
,	,	PUNCT	4	
t	het	PRON	4	
noordelke	noordelk	ADJ	4	
dail	deel	NOUN	4	
van	van	ADP	4	
t	het	DET	4	
provìnzie	provìnzie	NOUN	4	
Grunnen	Groningen	PROPN	4	
.	.	PUNCT	4	
t	het	DET	4	
Toalgebied	Toalgebied	NOUN	4	
van	van	ADP	4	
t	het	DET	4	
Hoogelaandsters	Hoogelaandster	NOUN	4	
wordt	worden	AUX	4	
begrênzt	begrênzt	VERB	4	
deur	door	ADP	4	
stad	stad	NOUN	4	
Grunnen	Groningen	PROPN	4	
ien	in	ADP	4	
t	het	DET	4	
zuden	zuiden	NOUN	4	
,	,	PUNCT	4	
t	het	DET	4	
Rietdaip	Rietdiep	NOUN	4	
ien	in	ADP	4	
t	het	DET	4	
zuudwesten	zuudwest	NOUN	4	
,	,	PUNCT	4	
t	het	DET	4	
Lauwersmeer	Lauwersmeer	NOUN	4	
ien	in	ADP	4	
t	het	DET	4	
noordwesten	noordwest	NOUN	4	
,	,	PUNCT	4	
t	het	DET	4	
Wad	wad	NOUN	4	
ien	in	ADP	4	
t	het	DET	4	
noorden	noorden	NOUN	4	
,	,	PUNCT	4	
de	de	DET	4	
Ems	ems	NOUN	4	
ien	in	ADP	4	
t	het	DET	4	
noordoosten	noordoost	NOUN	4	
en	en	CCONJ	4	
t	het	DET	4	
Damsterdaip	Damsterdiep	PROPN	4	
ien	in	ADP	4	
t	het	DET	4	
zuudoosten	zuudoost	NOUN	4	
.	.	PUNCT	4	
De	de	DET	5	
			0	
steden	stad	NOUN	6	
Delfziel	nelfzier	PROPN	6	
en	en	CCONJ	6	
