doc_id	paragraph_id	sentence_id	sentence	token_id	token	lemma	upos	misc	start	end
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	1	Wikipedia	Wikipedia	INTJ		1	9
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	2	,	,	PUNCT	SpacesAfter=\s\s	10	10
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	3	de	de	DET		12	13
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	4	vrije	vrij	ADJ		15	19
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	5	encyclopedie	encyclopeetje	NOUN		21	32
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	6	,	,	PUNCT	SpacesAfter=\s\s	33	33
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	7	B.	B	PROPN		35	36
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	8	Dijkstra	Dijkstra	PROPN		38	45
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	9	,	,	PUNCT	SpacesAfter=\s\s	46	46
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	10	and	and	ADV		48	50
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	11	others	other	NOUN		52	57
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	12	,	,	PUNCT	SpacesAfter=\s\s	58	58
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	13	2023	2023	NUM		60	63
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	14	,	,	PUNCT	SpacesAfter=\s\s	64	64
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	15	Westerwoolds	Westerwoolds	PROPN		66	77
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	16	,	,	PUNCT	SpacesAfter=\s\s	78	78
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	17	Wikipedia	Wikipedia	PROPN		80	88
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westerwoolds , Wikipedia Q487881	18	Q487881	Q487881	NUM	SpacesAfter=\n\n	90	96
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	1	t	het	PRON		99	99
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	2	Westerwoolds	Westerwoolds	VERB		101	112
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	3	is	zijn	AUX		114	115
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	4	ein	ein	NOUN		117	119
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	5	van	van	ADP		121	123
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	6	de	de	DET		125	126
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	7	subdialekten	subdialekten	NOUN		128	139
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	8	van	van	ADP		141	143
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	9	t	het	DET		145	145
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	10	Grönnegs	Grönnegs	PROPN		147	154
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	11	en	en	CCONJ		156	157
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	12	wodt	woden	VERB		159	162
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	13	up	up	ADP		164	165
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	14	Westerwoolde	Westerwooud	PROPN		167	178
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	15	snakt	snakken	VERB		180	184
doc1	2	2	t Westerwoolds is ein van de subdialekten van t Grönnegs en wodt up Westerwoolde snakt .	16	.	.	PUNCT	SpacesAfter=\n	185	185
doc1	2	3	t Is t meist Duutsek dialekt van Grönnen .	1	t	het	PRON		187	187
doc1	2	3	t Is t meist Duutsek dialekt van Grönnen .	2	Is	zijn	AUX		189	190
doc1	2	3	t Is t meist Duutsek dialekt van Grönnen .	3	t	het	DET		192	192
doc1	2	3	t Is t meist Duutsek dialekt van Grönnen .	4	meist	meist	NOUN		194	198
doc1	2	3	t Is t meist Duutsek dialekt van Grönnen .	5	Duutsek	Duutsijk	PROPN		200	206
doc1	2	3	t Is t meist Duutsek dialekt van Grönnen .	6	dialekt	dialect	VERB		208	214
doc1	2	3	t Is t meist Duutsek dialekt van Grönnen .	7	van	van	ADP		216	218
doc1	2	3	t Is t meist Duutsek dialekt van Grönnen .	8	Grönnen	Groningen	PROPN		220	226
doc1	2	3	t Is t meist Duutsek dialekt van Grönnen .	9	.	.	PUNCT		227	227
doc1	2	4	t Heft Drèntse en Emslaandse invlouden .	1	t	het	PRON		229	229
doc1	2	4	t Heft Drèntse en Emslaandse invlouden .	2	Heft	heffen	VERB		231	234
doc1	2	4	t Heft Drèntse en Emslaandse invlouden .	3	Drèntse	Drènths	PROPN		236	242
doc1	2	4	t Heft Drèntse en Emslaandse invlouden .	4	en	en	CCONJ		244	245
doc1	2	4	t Heft Drèntse en Emslaandse invlouden .	5	Emslaandse	Emslaands	PROPN		247	256
doc1	2	4	t Heft Drèntse en Emslaandse invlouden .	6	invlouden	invlouden	VERB		258	266
doc1	2	4	t Heft Drèntse en Emslaandse invlouden .	7	.	.	PUNCT	SpacesAfter=\n	267	267
doc1	2	5	t Wodt binao nich meer snakt , man olle mènzen oet Zèlng , Vlagtwedde en Onstwedde deit dat noch wol .	1	t	het	PRON		269	269
doc1	2	5	t Wodt binao nich meer snakt , man olle mènzen oet Zèlng , Vlagtwedde en Onstwedde deit dat noch wol .	2	Wodt	Woden	VERB		271	274
doc1	2	5	t Wodt binao nich meer snakt , man olle mènzen oet Zèlng , Vlagtwedde en Onstwedde deit dat noch wol .	3	binao	binao	ADV		276	280
doc1	2	5	t Wodt binao nich meer snakt , man olle mènzen oet Zèlng , Vlagtwedde en Onstwedde deit dat noch wol .	4	nich	nich	ADJ		282	285
doc1	2	5	t Wodt binao nich meer snakt , man olle mènzen oet Zèlng , Vlagtwedde en Onstwedde deit dat noch wol .	5	meer	meer	ADV		287	290
doc1	2	5	t Wodt binao nich meer snakt , man olle mènzen oet Zèlng , Vlagtwedde en Onstwedde deit dat noch wol .	6	snakt	snakken	VERB		292	296
doc1	2	5	t Wodt binao nich meer snakt , man olle mènzen oet Zèlng , Vlagtwedde en Onstwedde deit dat noch wol .	7	,	,	PUNCT	SpacesAfter=\s\s	297	297
doc1	2	5	t Wodt binao nich meer snakt , man olle mènzen oet Zèlng , Vlagtwedde en Onstwedde deit dat noch wol .	8	man	man	NOUN		299	301
doc1	2	5	t Wodt binao nich meer snakt , man olle mènzen oet Zèlng , Vlagtwedde en Onstwedde deit dat noch wol .	9	olle	oud	ADJ		303	306
doc1	2	5	t Wodt binao nich meer snakt , man olle mènzen oet Zèlng , Vlagtwedde en Onstwedde deit dat noch wol .	10	mènzen	mèns	NOUN		308	313
