token_GN	lemma_NL	upos	line	note	check
Grunnegs	Gronings	PROPN	1	NA	NA
and	and	ADV	1	NA	NA
Westlaauwers	Westlaauwer	ADV	1	NA	NA
Frais	Frais	PROPN	1	NA	NA
Grunnegs	Gronings	PROPN	1	NA	NA
Author	Author	PROPN	1	NA	NA
:	:	PUNCT	1	NA	NA
B.	B	PROPN	1	NA	NA
Dijkstra	Dijkstra	PROPN	2	NA	NA
,	,	PUNCT	2	NA	NA
and	and	ADV	2	NA	NA
others	other	NOUN	2	NA	NA
Year	Year	ADV	2	NA	NA
			0	NA	NA
:	:	PUNCT	3	NA	NA
2022	2022	NUM	3	NA	NA
			0	NA	NA
Number	Number	NOUN	4	NA	NA
:	:	PUNCT	4	NA	NA
Wikipedia	Wikipedia	PROPN	4	NA	NA
Q508854	Q508854	NUM	4	NA	NA
t	het	DET	4	NA	NA
Grunnegs	Gronings	PROPN	4	NA	NA
(	(	PUNCT	4	NA	NA
ook	ook	ADV	4	NA	NA
Grönnegs	Grönnegs	PROPN	4	NA	NA
of	of	CCONJ	4	NA	NA
Grunnegers	groninger	PROPN	4	NA	NA
)	)	PUNCT	4	NA	NA
is	zijn	AUX	4	NA	NA
de	de	DET	4	NA	NA
versoamelnoam	aangersoamelnaam	NOUN	4	NA	NA
veur	voor	ADP	4	NA	NA
de	de	DET	4	NA	NA
Friso-Saksische	Friso-Saksische	PROPN	4	NA	NA
dialekten	dialekten	VERB	4	NA	NA
dij	die	PRON	4	NA	NA
proat	spreken	VERB	4	NA	NA
worden	worden	AUX	4	NA	NA
ien	in	ADP	4	NA	NA
en	en	CCONJ	4	NA	NA
om	om	ADP	4	NA	NA
de	de	DET	4	NA	NA
provìnzie	provìnzie	NOUN	4	NA	NA
Grunnen	Groningen	PROPN	4	NA	NA
tou	toe	ADP	4	NA	NA
.	.	PUNCT	4	NA	NA
t	het	PRON	4	NA	NA
Is	zijn	AUX	4	NA	NA
n	een	DET	4	NA	NA
toal	taal	NOUN	4	NA	NA
dij	die	PRON	4	NA	NA
heurt	horen	VERB	4	NA	NA
tou	tot	ADP	4	NA	NA
t	het	DET	4	NA	NA
Leegsaksisch	Leegsaksisch	PROPN	4	NA	NA
,	,	PUNCT	4	NA	NA
ain	een	NUM	4	NA	NA
van	van	ADP	4	NA	NA
de	de	DET	4	NA	NA
